359 428 535 1617 2848 
1,200,000 0 0 0 1 5 
186 0 0 2 1 3 
downtown 0 0 0 4 2 
toyota 0 0 0 6 0 
sogen 0 0 0 6 0 
landslid 6 0 0 0 0 
cytrx 0 0 0 6 0 
pharmacia 0 0 0 0 6 
347 0 0 3 0 3 
rail 0 1 0 3 2 
crk 0 0 1 0 5 
barreto 0 6 0 0 0 
beall 0 0 0 0 6 
72.1 0 0 4 0 2 
2.29 3 0 0 0 3 
wiggin 0 0 0 0 6 
one-for-four 0 0 0 1 5 
converg 0 0 3 2 1 
ag' 0 0 2 3 1 
ident 1 0 1 3 1 
30.8 0 0 0 0 6 
powder 1 0 2 3 0 
dhabi 4 0 2 0 0 
202,000 1 0 0 0 5 
accur 2 2 0 0 2 
weapon 0 0 1 4 1 
eep. 0 6 0 0 0 
216,000 0 1 0 0 5 
lyon 0 0 0 4 2 
cote 2 0 0 4 0 
suchard 0 0 0 2 4 
mercer 0 0 0 5 1 
management-l 0 0 0 6 0 
father 0 0 3 3 0 
character 1 0 0 3 2 
gartner 0 0 0 4 2 
380 0 0 1 1 4 
wor-tv 0 0 0 6 0 
rationalis 1 0 0 1 4 
3.74 0 0 0 0 6 
542.2 0 0 0 6 0 
plea 3 0 2 1 0 
18.6 0 1 0 1 4 
carteret 0 0 0 6 0 
box 0 0 0 3 3 
bradley 0 0 0 0 6 
35.5 0 0 0 2 4 
pvdc 0 0 0 5 1 
berri 0 0 0 6 0 
355 0 1 3 0 2 
atcor 0 0 0 0 6 
lightn 0 5 0 0 1 
51,000 1 0 0 1 4 
goodwil 0 0 0 1 5 
stephen 1 0 2 3 0 
22.9 0 0 0 2 4 
leaf 0 1 0 5 0 
mobex 0 0 0 6 0 
keidanren 0 0 2 4 0 
r. 2 0 0 3 1 
labatt 0 0 0 0 6 
arabl 0 6 0 0 0 
35.8 0 1 0 0 5 
nigeria' 2 0 4 0 0 
ingredi 0 0 0 6 0 
llc 0 0 0 0 6 
244 0 0 0 4 2 
kgaa 0 0 0 5 1 
property-casualti 0 0 0 0 6 
34.8 0 1 1 0 4 
61,000 0 2 0 1 3 
carryov 0 2 0 0 4 
4.20 0 0 0 4 2 
46.8 0 0 0 0 6 
1.69 1 2 0 0 3 
ko 0 0 1 5 0 
34.7 0 0 0 0 6 
milk 0 5 0 0 1 
chamber 1 0 3 0 2 
128 0 0 0 4 2 
lubric 3 0 0 2 1 
9,000 0 2 0 0 4 
sceptr 0 0 0 4 2 
journal 1 0 0 4 1 
papyru 0 0 0 6 0 
mesa 1 0 0 2 3 
sm 0 0 0 6 0 
nacco 0 0 0 0 6 
buckstein 0 0 0 6 0 
cocoa 0 6 0 0 0 
okay 0 0 0 6 0 
41,000 0 1 0 0 5 
overhead 0 0 0 3 3 
ferri 0 0 0 2 4 
techniqu 3 2 0 0 1 
36.50 0 0 0 5 1 
empti 0 5 0 0 1 
five-for-four 0 0 0 1 5 
camco 0 0 0 3 3 
38.7 0 0 1 0 5 
cordero 6 0 0 0 0 
42,000 0 1 2 1 2 
silkworm 6 0 0 0 0 
67.6 0 1 0 0 5 
61.5 0 4 0 0 2 
tone 2 2 1 0 1 
3.04 0 2 0 0 4 
pork 2 2 1 1 0 
2.88 0 1 2 0 3 
tab 1 0 0 4 1 
editor 1 0 0 5 0 
grangemouth 6 0 0 0 0 
shore 1 0 1 2 2 
pantherella 0 0 0 6 0 
submers 0 0 0 6 0 
42.3 0 0 1 0 5 
allen 1 3 0 2 0 
37.9 1 0 0 0 5 
3.15 0 2 0 0 4 
path 2 0 3 1 0 
14.50 1 1 0 3 1 
dealt 2 2 2 0 0 
inver 0 0 0 6 0 
2.23 0 1 0 2 3 
asa 0 2 2 0 2 
seminar 4 0 1 0 1 
28.1 1 1 0 1 3 
1,025,000 0 0 0 0 6 
ge' 0 0 0 1 5 
thereaft 0 1 0 3 2 
va. 0 0 0 6 0 
58,000 2 0 0 0 4 
985 1 0 1 3 1 
mulligan 0 6 0 0 0 
bach 1 1 0 2 2 
nordbanken 0 0 0 6 0 
mere 0 0 2 1 3 
688 0 0 0 0 6 
diseas 0 4 0 2 0 
0.8 1 0 2 2 1 
sage 0 0 0 4 2 
kappa 0 0 0 6 0 
tl 0 0 0 4 2 
hydro 6 0 0 0 0 
staf 0 0 0 2 4 
bryson 0 0 0 6 0 
end-januari 1 0 0 1 4 
frazier 0 6 0 0 0 
30.5 0 0 0 2 4 
hunter 0 0 0 6 0 
febr 6 0 0 0 0 
48.8 0 0 0 0 6 
abund 2 3 1 0 0 
judg 0 1 1 4 0 
earth 1 1 0 2 2 
48.5 0 0 0 0 6 
texstyren 0 0 0 3 3 
acid 1 0 0 4 1 
1,300,000 0 0 0 0 6 
psycholog 1 0 5 0 0 
12-mar-1987 2 0 0 0 4 
24.6 0 0 0 0 6 
1,100,000 0 0 0 2 4 
30-year 2 0 3 0 1 
uac 0 0 0 3 3 
33.0 0 0 0 0 6 
tripl 1 1 2 0 2 
counselor 0 6 0 0 0 
bojangles' 0 0 0 5 1 
unsecur 1 0 0 1 4 
30.1 0 0 0 1 5 
tseng 0 0 0 0 6 
antibiotico 0 0 0 6 0 
collater 0 0 2 1 3 
numer 0 1 0 4 1 
display 0 0 1 5 0 
microchip 0 0 1 5 0 
6.20 0 0 3 1 2 
33.3 0 0 0 2 4 
microfilm 0 0 0 3 3 
mario 0 0 0 6 0 
2,600,000 0 1 0 1 4 
magna 0 0 0 5 1 
schmidt 0 0 2 2 2 
heng 0 0 0 3 3 
unoffici 0 3 2 1 0 
7-1/4 0 0 5 0 1 
chavin 0 0 0 6 0 
adm 0 6 0 0 0 
nevertheless 0 0 3 1 2 
3.28 0 0 0 2 4 
alabama 1 1 0 3 1 
1.94 0 0 0 0 6 
amcast 0 0 0 4 2 
shultz' 0 6 0 0 0 
1997 0 0 0 6 0 
meston 0 0 0 5 1 
63.0 0 3 0 0 3 
inl 0 0 0 6 0 
itoh 0 0 0 6 0 
road 0 2 0 1 3 
wine 0 1 0 4 1 
stapl 1 2 0 0 3 
nortek 0 0 0 5 1 
cruis 0 0 0 4 2 
ill 0 2 0 4 0 
1.97 0 0 0 0 6 
shoot 3 1 1 0 1 
signatur 0 0 2 4 0 
628,000 3 0 0 0 3 
al-sabah 6 0 0 0 0 
calgari 1 0 0 3 2 
slash 1 3 1 0 1 
occupi 5 1 0 0 0 
bernstein 1 0 0 0 5 
astral 0 0 0 6 0 
225,000 0 4 0 0 2 
succe 1 0 0 5 0 
181 0 0 2 0 4 
mmc 0 0 1 4 1 
224 1 0 4 1 0 
christi 4 0 0 2 0 
you'r 2 3 0 1 0 
22.7 0 3 0 0 3 
rilwanu 6 0 0 0 0 
43,000 0 2 0 1 3 
fec 0 0 6 0 0 
penetr 1 0 0 2 3 
35.4 0 0 0 0 6 
shut-in 6 0 0 0 0 
nonrecur 0 0 0 0 6 
sindt 0 6 0 0 0 
cruz 6 0 0 0 0 
pound' 0 0 6 0 0 
physician 0 0 0 3 3 
1.67 0 0 0 0 6 
overse 1 1 0 1 3 
conced 0 0 3 1 2 
seng 0 0 0 2 4 
disagre 1 1 2 2 0 
87.0 0 1 0 0 5 
bombay 0 0 0 4 2 
xerox 0 0 0 6 0 
acquisition' 0 0 0 6 0 
staley 0 3 0 1 2 
forma 0 0 0 2 4 
948,000 4 0 0 0 2 
salant 0 0 0 0 6 
nbh 0 0 0 6 0 
83.2 0 0 0 0 6 
chernobyl 0 4 1 0 1 
pse 0 5 0 0 1 
colombia' 6 0 0 0 0 
citadel 0 0 0 6 0 
mccrori 0 0 0 6 0 
coupon 1 0 3 2 0 
leasehold 1 0 0 3 2 
brewer 0 0 0 4 2 
faraway 0 0 0 6 0 
roxi 5 0 0 0 1 
spare 2 2 0 2 0 
faith 0 1 0 5 0 
trailer 0 0 0 5 1 
25.9 0 0 0 0 6 
outweigh 1 0 3 1 1 
44.3 1 0 0 0 5 
kadoori 0 0 0 6 0 
84.9 0 5 0 1 0 
26,000 1 1 0 0 4 
lai 0 0 0 6 0 
harvard 1 0 0 3 2 
forego 0 6 0 0 0 
adequaci 0 0 1 2 3 
32.6 0 0 0 0 6 
mci 0 0 0 0 6 
2.14 1 0 0 0 5 
hillsdown 0 0 0 2 4 
non-consolid 0 0 0 2 4 
660,000 2 0 0 1 3 
51.5 0 2 0 1 3 
richardson 0 0 0 2 4 
70.5 0 0 0 2 4 
accus 1 1 1 2 1 
jwt 0 0 0 6 0 
necess 0 1 2 2 1 
unaccept 1 0 3 2 0 
63,000 0 0 0 1 5 
synthet 6 0 0 0 0 
commerce' 0 0 1 0 5 
arizona 0 0 0 6 0 
unprofit 0 0 0 1 5 
furnac 0 0 0 3 3 
17-1/2 0 0 0 0 6 
1,500 1 2 0 0 3 
901,000 0 0 0 0 6 
three-way 0 0 0 6 0 
hackmann 0 6 0 0 0 
infring 1 0 0 5 0 
134 0 1 0 0 5 
dlr-a-shar 0 0 0 5 1 
ottawa 0 4 0 2 0 
bristol-my 0 0 0 5 1 
g 0 0 0 3 3 
leon 5 0 0 1 0 
norcen 1 0 0 0 5 
laroch 0 0 0 6 0 
316 2 0 0 3 1 
karl 0 0 6 0 0 
corpu 4 0 0 2 0 
theater 0 0 0 6 0 
excit 1 1 0 2 2 
132,000 0 1 0 2 3 
wouldn't 0 1 1 2 2 
seton 0 0 0 6 0 
9.50 0 0 0 4 2 
filter 0 0 0 5 1 
unnam 1 0 0 5 0 
mccormick 0 0 3 0 3 
sfx 0 0 0 6 0 
metromail 0 0 0 0 6 
47.5 1 0 0 1 4 
guin.l 0 0 0 5 1 
slowdown 1 0 4 0 1 
1.63 0 3 0 0 3 
4.00 0 1 1 3 1 
rockwel 0 0 0 3 3 
115 0 0 3 2 1 
remind 0 2 3 1 0 
523,000 0 1 0 0 5 
commission 2 2 0 2 0 
wolverin 0 0 0 5 1 
34.3 0 0 0 0 6 
genet 0 0 0 2 4 
slate 0 0 0 5 1 
fumio 0 0 0 6 0 
wil 0 1 2 2 1 
srd 1 0 0 5 0 
png 6 0 0 0 0 
vari 0 5 0 0 1 
tighter 1 3 2 0 0 
38.6 0 0 0 0 6 
depositari 0 0 0 3 3 
kernel 0 6 0 0 0 
chinese-mad 6 0 0 0 0 
2.59 0 2 0 0 4 
nichol 0 0 0 5 1 
3.70 1 3 1 0 1 
41.1 0 0 0 0 6 
3,300,000 0 0 0 1 5 
rein 0 0 5 0 1 
psi 0 0 0 1 5 
preclud 0 1 1 2 2 
rabbit 0 0 0 6 0 
graviti 5 1 0 0 0 
cheetham 0 0 0 6 0 
non-farm 1 0 5 0 0 
nearer 1 2 3 0 0 
precambrian 0 0 0 0 6 
printer 0 0 0 3 3 
96,000 0 1 0 0 5 
operatorship 6 0 0 0 0 
contractu 2 1 0 3 0 
zier 0 0 0 0 6 
jet 0 0 0 1 5 
115,000 2 0 0 1 3 
dyr 0 0 0 1 5 
strenger 0 0 0 0 6 
tinker 0 2 4 0 0 
56,000 0 4 0 0 2 
underperform 0 0 0 0 6 
age 0 1 0 1 4 
7.75 0 0 1 4 1 
seal 0 0 0 5 1 
computer 0 0 0 2 4 
company-own 0 0 0 2 4 
sunshin 0 2 0 0 4 
19,000 2 0 0 1 3 
usda. 0 6 0 0 0 
grossli 0 0 3 3 0 
moto 0 0 0 0 6 
2.19 0 0 0 4 2 
60.6 0 0 0 0 6 
norgold 0 0 0 6 0 
profil 0 1 2 1 2 
mhi 0 0 0 6 0 
9-11/16 0 0 6 0 0 
underwritten 0 0 0 4 2 
smithson 0 0 0 6 0 
jordan' 2 0 3 0 1 
sea-land 0 0 0 3 2 
813.0 0 0 0 0 5 
pit 0 2 2 1 0 
interf 1 0 0 4 0 
prepay 0 0 1 2 2 
bois 0 0 0 5 0 
boreali 0 0 0 5 0 
jamesway 0 0 0 0 5 
detect 1 1 2 1 0 
ich 0 0 0 0 5 
carpet 0 0 0 3 2 
henan 0 5 0 0 0 
end-februari 0 0 3 1 1 
macmillan 1 0 0 0 4 
12.75 0 0 0 1 4 
377,000 0 0 0 1 4 
noaa 0 5 0 0 0 
seidman 0 0 0 0 5 
klm.a 0 0 0 5 0 
walbro 0 0 0 0 5 
winthrop 0 0 0 3 2 
ffmc 0 0 0 4 1 
foothold 1 0 0 4 0 
odger 0 0 0 0 5 
furman 0 0 0 0 5 
vertex 0 0 0 4 1 
ft-se 0 0 5 0 0 
confin 2 0 1 0 2 
kirnan 0 0 0 1 4 
people' 0 5 0 0 0 
noverco 0 0 0 5 0 
n 0 0 0 2 3 
norddeutsch 0 0 0 5 0 
nikko 0 0 5 0 0 
electromed 0 0 0 0 5 
co-ordin 2 1 2 0 0 
nanc 5 0 0 0 0 
wtd 0 0 0 3 2 
10-day 0 0 3 2 0 
wluk.l 0 0 0 3 2 
dinner 0 1 2 2 0 
pest 0 5 0 0 0 
hughes' 1 0 0 4 0 
neighbour 3 0 1 1 0 
vorm 0 5 0 0 0 
35.2 0 0 0 1 4 
56.1 0 0 0 0 5 
lock 1 2 1 0 1 
foresaw 0 0 1 3 1 
caught 1 0 2 1 1 
bv 0 0 0 5 0 
gandalf 0 0 0 5 0 
groceri 0 0 0 3 2 
frederick 0 0 0 0 5 
woolworth' 0 0 0 2 3 
csra. 0 0 0 5 0 
1.92 0 1 0 0 4 
compat 1 0 0 3 1 
ech 0 0 0 2 3 
r 0 0 0 2 3 
multiyear 0 4 0 1 0 
petrosur 0 0 0 5 0 
heaviest 0 5 0 0 0 
scandinavia 0 0 0 4 1 
56.0 0 2 1 0 2 
krung 0 0 0 5 0 
6,700,000 0 0 0 1 4 
mercal 5 0 0 0 0 
al-bukhoosh 5 0 0 0 0 
clausen 0 0 0 0 5 
ag. 0 0 0 2 3 
mize 0 0 0 5 0 
set-asid 0 4 0 0 1 
boddington 0 0 0 0 5 
mobil' 4 0 0 1 0 
portsmouth 0 0 0 5 0 
580,000 0 0 0 0 5 
shc 5 0 0 0 0 
andersen 1 0 0 0 4 
pglo.a 0 0 0 5 0 
moin 0 1 0 2 2 
rosewood 0 0 0 5 0 
326 3 0 1 0 1 
trademark 0 0 0 4 1 
102.2 0 0 1 0 4 
951,000 0 0 0 0 5 
bold 2 0 0 2 1 
3.37 1 1 0 0 3 
december' 4 0 1 0 0 
convey 0 2 0 3 0 
seizer 0 0 0 5 0 
skanska 0 0 0 5 0 
137 1 0 0 2 2 
182.2 0 0 0 0 5 
fetch 1 0 0 4 0 
785,000 0 0 0 1 4 
richmond 0 0 2 3 0 
2.34 0 1 0 1 3 
hawkin 0 0 0 5 0 
4,350,000 0 0 0 0 5 
berisford 0 0 0 4 1 
9.27 0 0 1 0 4 
chung 0 0 5 0 0 
hagu 3 2 0 0 0 
influenti 1 1 2 1 0 
southland 5 0 0 0 0 
beeba' 0 0 0 5 0 
65.0 0 0 0 0 5 
165,000 0 0 0 1 4 
dismantl 2 3 0 0 0 
reconsider 0 0 0 5 0 
trilog 0 0 0 5 0 
idc 0 0 0 5 0 
danah 0 0 0 0 5 
sheehi 0 0 0 0 5 
salina 5 0 0 0 0 
42.0 0 0 1 0 4 
propan 0 0 0 5 0 
211,000 0 0 0 0 5 
384,000 0 0 0 0 5 
fe' 0 0 0 5 0 
vernell' 0 0 0 5 0 
xp 0 0 0 5 0 
bcf 3 0 0 1 1 
polyest 0 0 0 0 5 
479 0 0 0 0 5 
ameron 0 0 0 3 2 
52-week 1 0 0 2 2 
greas 0 0 0 4 1 
m3 0 0 5 0 0 
indebted 0 1 0 3 1 
430 0 0 1 1 3 
bloch 0 0 0 0 5 
unproduct 0 0 0 4 1 
bnr 0 0 0 5 0 
280 1 0 1 2 1 
stow 0 2 0 3 0 
cts' 0 0 0 5 0 
5.02 0 1 0 0 4 
52.1 0 0 2 0 3 
crash 3 0 2 0 0 
30.4 0 0 0 3 2 
affineri 0 0 0 5 0 
wrather 0 0 0 4 1 
michel 0 0 3 1 1 
memotec 0 0 0 4 1 
mhc 0 0 0 3 2 
242 0 1 2 1 1 
i'v 0 1 2 2 0 
2.18 0 1 0 1 3 
swissair 0 0 0 0 5 
player 0 0 0 2 3 
london' 0 0 1 3 1 
52.9 1 0 1 0 3 
49.6 0 0 0 0 5 
5.75 0 2 1 2 0 
community' 0 4 0 1 0 
parsow 0 0 0 5 0 
bilion 1 0 0 1 3 
chri 0 0 4 1 0 
1980' 2 2 0 0 1 
47.9 0 0 0 0 5 
gwf 0 0 0 5 0 
inclin 2 0 3 0 0 
waterman 0 0 0 5 0 
aggrav 1 0 4 0 0 
selz 0 0 0 0 5 
pye 0 3 0 2 0 
linear 0 0 0 0 5 
anthoni 0 0 1 2 2 
wipe 0 0 1 0 4 
lodg 1 2 0 2 0 
29,000 0 0 0 0 5 
4.90 0 4 0 0 1 
erc 0 0 0 5 0 
graven 5 0 0 0 0 
craig 0 0 3 2 0 
hazard 0 0 0 4 1 
end-us 2 1 0 0 2 
safe 2 0 1 1 1 
ropak 0 0 0 4 1 
copi 0 0 0 4 1 
tofutti 0 0 0 0 5 
edibl 0 5 0 0 0 
gestur 0 1 2 0 2 
mrc 0 0 0 1 4 
borman' 0 0 0 3 2 
nobodi 2 0 2 0 1 
reincorpor 0 0 0 3 2 
accomplish 0 0 0 5 0 
mcfarland 0 0 0 5 0 
3.41 1 0 0 0 4 
amcor 0 0 0 5 0 
gaug 0 2 3 0 0 
confeder 1 0 2 2 0 
chi-chi' 0 0 0 0 5 
stimulu 1 0 4 0 0 
abdul-aziz 5 0 0 0 0 
6.5p 0 0 0 0 5 
606,000 0 0 0 0 5 
baghdad 5 0 0 0 0 
underpin 0 2 2 0 1 
uneconom 3 0 0 0 2 
51.7 0 0 0 0 5 
1,815,000 0 0 0 0 5 
dome' 0 0 0 3 2 
unaudit 1 0 0 0 4 
6-3/16 0 0 5 0 0 
csr' 0 0 0 5 0 
algerian 4 1 0 0 0 
tricil 0 0 0 3 2 
jewelmast 0 0 0 0 5 
solar 0 0 0 4 1 
ncr 0 0 0 0 5 
der 0 5 0 0 0 
plant' 0 0 0 1 4 
trident 0 0 0 5 0 
export-import 2 0 3 0 0 
53.7 0 0 1 0 4 
ferdinand 0 0 0 5 0 
devast 1 2 1 0 1 
regent 0 0 0 5 0 
carniv 0 0 5 0 0 
re-open 1 0 2 1 1 
audi' 0 0 0 0 5 
knoll 0 0 0 5 0 
stuttgart 0 0 0 0 5 
classifi 0 0 0 1 4 
142 0 0 1 0 4 
ben 0 0 0 1 4 
accu-weath 0 5 0 0 0 
astra 0 0 0 5 0 
insituform 0 0 0 4 1 
sovereignti 1 0 4 0 0 
132.4 0 0 0 0 5 
similarli 1 1 1 2 0 
centerr 0 0 0 5 0 
suspect 1 0 1 3 0 
su 0 0 2 3 0 
28.8 0 0 0 0 5 
tsco.l 0 0 0 4 1 
men 2 1 0 1 1 
rowntre 0 0 0 0 5 
egyptian 2 1 2 0 0 
government-own 0 1 2 1 1 
m.d.c. 0 0 0 2 3 
geotherm 0 0 0 0 5 
enquiri 1 1 2 1 0 
invok 0 0 4 1 0 
2.22 0 0 0 1 4 
gel 0 0 0 3 2 
46.6 1 1 0 0 3 
amsouth 0 0 0 5 0 
automak 0 0 0 3 2 
3.06 0 1 0 1 3 
41.9 0 0 0 1 4 
sword 0 0 0 5 0 
germain 0 0 1 4 0 
herbert 0 0 1 1 3 
56.2 0 0 0 1 4 
33.2 0 0 0 0 5 
diablo 0 0 0 3 2 
robbin 0 2 0 1 2 
sumner 0 0 0 5 0 
baseless 5 0 0 0 0 
montagu 0 0 1 4 0 
1,700,000 0 0 0 2 3 
ranger 5 0 0 0 0 
campeau 0 0 0 5 0 
fault 1 1 3 0 0 
mannesmann' 0 0 0 1 4 
rotat 0 4 0 1 0 
lamborghini 0 0 0 5 0 
benetton 0 0 0 5 0 
16.15 1 2 0 0 2 
9.3 1 0 0 1 3 
petrominer 0 0 0 5 0 
ccr 0 0 0 0 5 
37.0 0 0 0 0 5 
kahn 0 4 0 1 0 
clorox 0 0 0 5 0 
khj 0 0 0 5 0 
hancock 0 0 0 5 0 
prudential-bach 0 0 0 3 2 
redstone' 0 0 0 5 0 
60.8 0 0 0 0 5 
avaq 0 0 0 5 0 
barclay 0 0 2 2 1 
intercontinent 0 0 0 5 0 
pretti 1 3 1 0 0 
ta 0 0 0 1 4 
braverman 0 0 5 0 0 
mediq 0 0 0 5 0 
directors' 0 0 0 1 4 
older 0 2 0 1 2 
953 0 0 0 0 5 
hal 1 0 0 3 1 
phh 0 0 0 3 2 
shipyard 0 0 0 0 5 
newslett 2 3 0 0 0 
taqi 5 0 0 0 0 
companies' 0 0 0 5 0 
2.91 2 1 1 0 1 
218,000 0 1 0 0 4 
tokyo' 0 0 4 1 0 
52.5 0 0 0 0 5 
marietta 0 0 0 4 1 
14,000 1 1 0 0 3 
3.18 1 0 0 0 4 
countervail 0 5 0 0 0 
platinum 2 0 0 3 0 
98.3 0 0 0 1 4 
mf 0 0 0 0 5 
proxmir 0 0 1 4 0 
eaux 0 0 0 1 4 
173 0 1 1 3 0 
133 0 1 0 0 4 
191 0 0 2 0 3 
theme 0 0 1 4 0 
tietmey 0 0 5 0 0 
al-chalabi 5 0 0 0 0 
ps 0 0 0 4 1 
quantech 0 0 0 0 5 
rite 0 0 0 4 1 
eli 0 0 0 5 0 
andrea 5 0 0 0 0 
2.56 0 0 0 0 5 
smooth 0 1 4 0 0 
electro 0 0 0 0 5 
nowak 1 0 0 0 4 
schlang 0 0 0 5 0 
abat 3 0 1 1 0 
ineffect 0 0 4 1 0 
balladur 0 0 2 3 0 
explan 1 0 0 4 0 
rrt 5 0 0 0 0 
47.3 0 0 0 0 5 
northeastern 1 0 0 4 0 
destock 5 0 0 0 0 
cominco 0 0 0 3 2 
cronu 0 0 0 4 1 
35.6 0 0 0 0 5 
centurion 0 0 0 5 0 
halv 0 1 0 2 2 
gibb 0 0 0 2 3 
38.2 0 0 0 0 5 
reinsur 0 0 0 2 3 
195,000 0 0 0 1 4 
scottish 2 0 0 0 3 
17.85 5 0 0 0 0 
whitehal 3 0 0 1 1 
lufkin 0 0 1 3 1 
seax 0 0 0 5 0 
470 1 1 0 0 3 
gsm-103 0 5 0 0 0 
68.2 0 0 0 0 5 
104,000 0 3 0 0 2 
325,000 1 1 0 2 1 
peavey 0 5 0 0 0 
204,000 0 0 0 1 4 
33.4 0 0 0 0 5 
oshman' 0 0 0 0 5 
devis 2 0 2 1 0 
82.2 0 0 1 0 4 
sacrific 4 0 1 0 0 
mickelberri 0 0 0 3 2 
counterproduct 0 0 5 0 0 
o'neil 0 0 3 2 0 
naturalit 0 0 0 5 0 
alsthom 0 0 0 4 1 
129.9 0 0 0 1 4 
architectur 0 1 0 3 1 
four-week 0 5 0 0 0 
6.25 0 0 1 3 1 
amb 0 0 0 0 5 
moni 0 0 0 4 1 
they'v 0 1 2 2 0 
isda 0 0 5 0 0 
underwood 0 0 0 4 1 
ordnanc 0 0 0 5 0 
cont'l 0 0 0 0 5 
division' 0 0 0 3 2 
take-ov 0 0 0 2 3 
appleton 0 0 0 4 1 
ci 0 0 0 3 2 
vancouv 0 0 0 2 3 
milan 0 0 0 5 0 
oapec 5 0 0 0 0 
spar 0 0 0 0 5 
pronounc 3 1 0 0 1 
quito 5 0 0 0 0 
synergi 0 0 0 5 0 
hawk 3 0 0 2 0 
37-1/2 0 0 0 0 5 
door-to-door 0 0 0 5 0 
lebanon 1 0 2 0 2 
reg 0 0 0 0 5 
pesch' 0 0 0 5 0 
nervous 0 0 5 0 0 
deep 2 1 2 0 0 
choke 5 0 0 0 0 
j.p. 0 0 0 0 5 
measurex 0 0 0 4 1 
25.8 0 1 0 1 3 
cost-cut 0 0 0 0 5 
490,000 0 0 0 0 5 
egypt' 2 1 2 0 0 
ail 2 0 0 3 0 
hinder 2 0 1 1 1 
acm 0 0 0 5 0 
61.8 0 1 0 0 4 
bfg 0 0 0 0 5 
65.9 0 0 0 0 5 
60.7 0 1 0 0 4 
sulpetro 0 0 0 0 5 
cyanamid 0 0 0 3 2 
45.3 0 0 0 1 4 
2,200,000 0 0 0 1 4 
weiss 0 0 0 1 4 
gerald 0 0 0 3 2 
marriott 0 0 0 5 0 
polic 4 1 0 0 0 
chip 0 0 0 4 1 
dorsey 0 0 0 5 0 
48.9 0 0 0 0 5 
mcdowel 0 0 0 5 0 
eduardo 0 0 0 5 0 
mapl 0 0 0 5 0 
philippines' 0 0 0 5 0 
mixtur 0 0 3 2 0 
10,572,402 0 5 0 0 0 
50.5 0 0 2 1 2 
anova 0 0 0 0 5 
eaf 0 0 0 5 0 
variabl 3 1 1 0 0 
mid-1988 1 0 3 1 0 
barker 0 0 0 5 0 
guillaum 0 5 0 0 0 
efp 5 0 0 0 0 
iran-iraq 5 0 0 0 0 
captur 0 2 1 0 2 
pollut 0 0 0 1 4 
radiat 0 0 1 3 1 
952,000 0 1 0 0 4 
lusinchi 5 0 0 0 0 
mexicano 5 0 0 0 0 
deng 0 5 0 0 0 
83,000 0 1 0 0 4 
fertil 0 3 0 1 1 
ministeri 2 2 0 1 0 
rebuild 0 1 0 4 0 
30-day 0 0 2 3 0 
joint-ventur 1 0 1 0 3 
inflationari 0 0 5 0 0 
1-1/4 0 0 2 2 1 
camp 1 0 0 4 0 
subproduct 0 5 0 0 0 
horn 0 0 0 3 2 
226 0 0 2 0 3 
aground 1 4 0 0 0 
352,000 0 0 0 0 5 
rada 0 0 0 3 2 
renegoti 0 0 2 2 1 
59.3 0 0 0 2 3 
37.2 0 0 0 0 5 
indian 3 0 0 2 0 
csp 0 0 0 2 3 
124 1 4 0 0 0 
wonder 1 0 0 2 2 
119,000 0 0 0 0 5 
mcandrew 0 0 0 5 0 
cgct. 0 0 0 5 0 
prat 0 0 0 5 0 
clg 0 0 0 3 2 
beaver 0 0 0 5 0 
killearn 0 0 0 4 1 
morrison 0 0 0 2 3 
125.6 0 0 0 0 5 
asea 0 0 0 2 3 
2400 0 0 0 5 0 
goldendal 0 0 0 0 5 
knowlton 0 0 0 5 0 
alexandria 5 0 0 0 0 
104 0 0 3 1 1 
parcel 0 0 0 5 0 
fesharaki 5 0 0 0 0 
indemnifi 0 0 0 3 2 
financier 0 0 0 3 2 
28.3 0 0 0 0 5 
poehl' 0 0 5 0 0 
59.8 1 0 0 1 3 
cag 0 0 0 3 2 
1.68 0 1 1 1 2 
40.3 1 0 0 0 4 
26.6 0 0 0 0 5 
shearson' 0 0 0 5 0 
ralph 0 4 0 0 1 
sismik 5 0 0 0 0 
4,077,000 0 0 0 0 5 
lull 4 0 1 0 0 
15.25 4 0 0 0 1 
throw 0 0 3 1 1 
2.44 0 0 0 0 5 
telxon 0 0 0 0 5 
corazon 0 0 0 5 0 
144.70 0 0 5 0 0 
north-west 0 0 0 2 3 
wellemey 5 0 0 0 0 
thailand' 0 3 0 2 0 
overdu 0 0 0 1 4 
72.3 0 0 0 2 3 
lyle 0 0 0 5 0 
disincent 3 0 0 2 0 
5/8 0 0 1 3 1 
73.1 0 0 0 0 5 
gobert 2 0 0 3 0 
manila 0 0 0 5 0 
sat 0 0 0 5 0 
bhp' 0 0 0 2 3 
albani 0 0 0 5 0 
procur 0 0 2 1 2 
173,000 1 0 0 1 3 
montana 1 1 0 1 2 
apt 0 0 0 5 0 
foothil 0 0 0 0 5 
chosen 1 0 1 3 0 
wealthi 1 0 0 4 0 
fo 4 0 0 0 1 
render 0 0 0 5 0 
non 0 1 0 1 3 
35.0 0 0 1 0 4 
unwant 0 0 0 5 0 
upset 0 1 3 1 0 
30.9 0 0 0 0 5 
steinhardt 0 0 0 5 0 
lennox 0 0 0 0 5 
liu 1 0 0 0 4 
dunn 1 0 2 2 0 
17.25 2 2 0 0 1 
cpc' 0 0 0 5 0 
nilsson 0 0 0 5 0 
60.0 0 1 1 0 3 
