72789 73007 95324 190881 208676 
5.9 0 1 0 10 11 
redempt 0 6 0 5 11 
georgia 3 0 0 4 15 
a. 0 0 0 15 7 
par 2 0 1 4 15 
125 0 4 0 8 10 
16.1 5 0 0 0 17 
f 0 10 0 2 10 
midwest 0 11 0 8 3 
12.8 0 4 1 4 13 
microwav 0 0 0 15 7 
environ 4 1 1 9 7 
delawar 1 0 0 16 5 
norwegian 17 0 1 4 0 
registr 5 5 0 7 5 
fallen 7 1 10 0 4 
rospatch 0 0 0 20 2 
non-perform 2 0 0 1 19 
fed' 0 0 21 1 0 
metropolitan 0 0 0 20 2 
warship 22 0 0 0 0 
desir 5 2 6 7 2 
golden 2 0 2 16 2 
hoechst 1 0 0 3 18 
burden 4 2 9 0 7 
chase 0 0 6 15 1 
cgct 0 0 0 22 0 
17.6 0 0 1 4 17 
usda' 0 22 0 0 0 
poehl 0 0 22 0 0 
snow 0 18 3 0 1 
pik 0 21 0 1 0 
ltd' 2 0 6 8 6 
iea 22 0 0 0 0 
coupl 7 3 6 3 3 
audit 1 0 0 1 20 
thousand 13 4 0 4 1 
unilev 0 0 0 1 21 
oklahoma 7 8 0 6 1 
fine 2 0 2 12 6 
1.20 1 1 0 0 20 
's 1 0 0 19 2 
amus 0 0 0 21 1 
schill 0 0 0 0 22 
86 0 1 0 1 20 
fast 0 0 6 9 7 
sure 6 4 2 4 6 
flag 8 2 2 9 1 
bottom 7 3 3 1 8 
philadelphia 2 0 6 13 1 
picken 8 0 2 11 1 
bodi 2 2 3 9 6 
friendli 2 3 0 17 0 
so-cal 3 5 7 5 2 
usag 2 18 0 2 0 
tax-fre 0 0 0 3 19 
heat 9 3 0 5 5 
revalu 0 0 14 3 5 
15.5 3 0 0 3 16 
c. 2 1 2 12 5 
firm' 1 1 0 12 8 
unsuccess 2 0 1 18 1 
relianc 17 0 2 2 1 
chancellor 3 0 19 0 0 
surplus 0 9 13 0 0 
jone 0 0 0 19 3 
deplet 20 0 0 0 2 
colorado 2 1 0 11 8 
finish 6 2 8 3 3 
someth 1 3 9 6 3 
year-earli 0 1 0 0 21 
subroto 22 0 0 0 0 
two-third 9 5 1 5 2 
cie 2 0 0 9 11 
12-1/2 0 0 2 0 19 
allied-lyon 0 0 0 10 11 
slump 7 1 4 2 7 
rubber 2 6 1 10 2 
holden-brown 0 0 0 7 14 
meter 19 0 0 2 0 
1981 5 5 1 2 8 
sweet 19 1 0 0 1 
interior 6 12 0 1 2 
79 0 0 0 3 18 
machineri 1 1 2 11 6 
tent 2 2 1 14 2 
3.0 4 1 2 1 13 
hernandez 21 0 0 0 0 
edelman 0 0 0 21 0 
epac 0 21 0 0 0 
unspecifi 5 1 3 9 3 
explos 12 4 2 1 2 
omit 0 0 0 1 20 
durum 0 21 0 0 0 
1.34 0 2 0 0 19 
kingdom 7 0 3 7 4 
midland 0 5 4 6 6 
brief 7 0 4 6 4 
serious 1 9 6 5 0 
nakason 0 0 19 2 0 
minstar 0 0 0 20 1 
midnight 0 0 0 21 0 
tmoc 0 0 0 21 0 
banks' 0 0 15 2 4 
mthli 0 0 0 0 21 
answer 3 3 8 4 3 
focus 0 1 6 7 7 
emir 15 0 6 0 0 
excel 0 4 2 2 13 
stick 10 6 1 2 2 
nationwid 3 3 1 4 10 
10.9 1 0 0 2 18 
dudley 0 0 0 21 0 
gcc 10 0 11 0 0 
elder 1 1 0 15 4 
ic 0 0 0 21 0 
gate 0 0 0 20 1 
myer 0 5 0 14 2 
lukman 21 0 0 0 0 
domin 3 5 4 7 2 
1.51 0 1 0 1 19 
hillard 0 0 0 17 4 
won't 3 6 6 5 1 
rental 1 6 0 4 10 
plain 7 7 0 5 2 
welcom 4 1 10 3 3 
fulfil 1 5 5 8 2 
aluminium 0 0 0 2 19 
smc 0 0 0 21 0 
brace 0 1 1 18 1 
spark 4 13 1 2 1 
card 0 1 2 11 7 
asc 0 19 0 0 2 
simpli 2 3 10 5 1 
14.5 0 8 0 4 9 
poll 2 0 11 2 6 
themselv 3 1 9 7 1 
perhap 1 4 13 1 2 
exempt 6 11 1 2 1 
settl 8 1 2 8 2 
1.30 1 3 0 0 17 
becam 2 3 2 7 7 
purolator' 0 0 0 21 0 
warburg 0 0 3 18 0 
nigeria 14 4 3 0 0 
franchis 1 0 0 16 4 
usair' 0 0 0 21 0 
raw 1 3 0 3 14 
750 3 2 14 1 1 
hospit 0 0 0 13 8 
walter 4 0 2 9 6 
coars 0 21 0 0 0 
privatis 0 0 0 18 3 
9.5 0 2 4 6 9 
sen 3 16 2 0 0 
tenneco 6 0 0 13 2 
1,000 4 6 0 3 8 
84 0 1 0 5 15 
alaska 12 0 0 8 1 
240 0 2 3 12 4 
4.3 1 3 1 4 12 
150,000 5 9 0 2 5 
goodyear 2 0 0 17 2 
seat 0 0 0 14 6 
w 0 1 0 16 3 
adher 17 2 1 0 0 
lessen 9 3 3 4 1 
17.8 0 3 0 1 16 
4.8 0 2 5 6 7 
basket 0 3 17 0 0 
leigh-pemberton 0 0 10 10 0 
anim 1 8 0 6 5 
fabric 1 0 0 10 9 
sunflow 0 18 0 2 0 
widespread 3 6 11 0 0 
thoma 1 1 6 10 2 
reli 6 5 6 1 2 
cheaper 3 5 8 2 2 
g-5 0 0 20 0 0 
ongo 1 1 1 5 12 
tension 10 0 7 3 0 
react 2 0 12 4 2 
broadli 0 0 17 1 2 
reluct 7 4 9 0 0 
15,000 4 10 2 0 4 
programm 3 0 8 2 7 
480 0 18 1 1 0 
lee 2 0 0 11 7 
sept 0 5 2 4 9 
arabian 17 0 2 0 1 
spur 13 0 5 2 0 
shown 8 2 3 3 4 
malaysia 6 4 1 5 4 
1.78 1 0 0 0 19 
heavili 4 2 6 5 3 
iwc 0 20 0 0 0 
qintex 0 0 0 20 0 
alusuiss 0 0 0 0 20 
experi 2 0 3 9 6 
alter 8 2 4 5 1 
scheme 5 9 0 4 2 
reaction 3 2 10 3 2 
weight 1 3 13 1 2 
swire 0 0 0 0 20 
ever 4 3 4 3 6 
restor 9 3 5 2 1 
allis-chalm 0 0 0 20 0 
seed 0 10 0 9 1 
histor 1 3 10 4 2 
encor 0 0 0 17 3 
accru 1 1 0 4 14 
strain 3 5 9 2 1 
switzerland 2 2 5 9 2 
1.35 1 3 0 2 14 
begun 0 3 7 8 2 
monopoli 3 7 1 9 0 
160 2 1 1 10 6 
administration' 3 14 3 0 0 
arbitrageur 0 0 0 20 0 
unavail 1 2 3 7 7 
99 0 3 0 1 16 
saturday 5 2 12 1 0 
quaker 0 0 0 11 9 
kidder 0 0 0 13 7 
250,000 3 5 1 4 7 
barrier 1 4 11 4 0 
latin 10 0 1 1 8 
13.3 0 1 0 5 14 
airway 0 0 1 5 14 
weinberg 10 0 0 10 0 
goldman 1 0 0 16 3 
five-year 3 4 0 8 5 
broken 2 3 2 8 5 
7-3/4 0 0 19 0 1 
15.9 1 1 0 1 17 
notic 1 0 1 12 6 
restrain 5 1 2 11 1 
seali 0 0 0 15 5 
presidenti 7 0 1 10 2 
rio 6 5 0 9 0 
fidel 0 0 0 18 2 
2.50 0 2 2 3 13 
plung 8 0 8 0 4 
sand 7 0 0 3 10 
agent 0 8 1 8 3 
indirect 1 0 10 7 2 
moistur 0 20 0 0 0 
three-month 2 1 14 3 0 
98 4 1 2 3 10 
2,000 10 2 2 2 4 
effici 3 6 2 5 4 
1.08 0 0 0 1 19 
ortner 0 0 20 0 0 
11.1 0 2 0 4 14 
6.2 0 0 2 8 10 
petro-canada 16 0 0 4 0 
passeng 0 0 0 6 13 
banner 0 0 0 19 0 
netherland 0 8 5 4 2 
1.11 1 0 1 1 16 
closur 8 0 2 1 8 
fresh 3 4 6 2 4 
unicorp 0 0 0 16 3 
select 4 4 3 4 4 
n.z. 0 2 2 13 2 
88 1 0 0 1 17 
bancroft 0 1 0 18 0 
utah 4 0 0 14 1 
devic 1 0 0 11 7 
6.6 1 0 1 8 9 
belief 5 2 5 7 0 
esso 6 0 0 10 3 
atlanta 0 1 0 17 1 
belgium 1 7 7 4 0 
section 4 5 1 5 4 
treatment 2 0 1 9 7 
grew 0 1 7 2 9 
commerzbank 0 0 2 10 7 
memori 0 2 0 14 3 
danger 4 2 12 0 1 
mar 6 8 0 2 3 
1.38 2 0 0 2 15 
non-recur 0 0 0 1 18 
benchmark 18 0 1 0 0 
horizon 0 0 0 15 4 
disposit 0 0 0 5 14 
jordan 3 6 3 1 6 
12.0 0 2 0 3 14 
green 0 2 0 8 9 
wilson 3 5 4 5 2 
pick 4 1 9 2 3 
1.12 1 1 1 1 15 
take-up 0 0 19 0 0 
11.6 1 0 0 0 18 
foot 0 0 1 14 4 
12.2 2 0 1 2 14 
pie 0 0 0 18 1 
authoris 0 4 4 5 6 
heinz 0 0 0 2 17 
shanghai 0 9 0 2 8 
neutral 11 5 2 0 1 
lindner 0 0 0 19 0 
19.9 0 0 0 9 10 
love 0 0 1 11 7 
4.7 3 1 0 1 14 
ii 2 2 3 6 6 
cargil 0 19 0 0 0 
f. 0 2 0 11 6 
outcom 2 3 3 5 6 
1980 4 4 3 4 4 
matheson 0 0 0 0 19 
el 1 16 0 2 0 
12.4 0 3 0 2 14 
incorpor 1 0 4 6 8 
downturn 6 0 3 1 9 
6.3 0 1 2 9 7 
ultim 2 2 2 5 8 
91 0 0 1 3 15 
subscrib 0 0 0 12 7 
sri 0 19 0 0 0 
cement 1 0 0 11 7 
outflow 0 0 19 0 0 
peg 1 0 13 1 4 
16.7 2 5 1 0 11 
carolina 0 0 0 1 18 
residu 16 1 1 0 1 
cheap 7 7 4 0 1 
8.3 3 4 1 4 7 
suitor 0 0 0 19 0 
heritag 0 0 3 16 0 
alvit 19 0 0 0 0 
australia' 8 4 0 4 3 
frost 0 9 0 5 5 
perman 6 6 3 1 3 
barney 3 0 7 5 4 
pace 3 1 3 5 7 
colombia 11 7 0 0 0 
magazin 0 0 1 15 2 
xon 15 0 0 3 0 
coloni 0 0 0 13 5 
16.3 3 1 0 3 11 
8.4 2 4 0 4 8 
scott 0 0 1 5 12 
black 0 1 7 7 3 
southmark 0 0 0 18 0 
suprem 4 0 0 11 3 
provision 0 4 5 1 8 
ore 2 0 0 15 1 
kept 8 3 5 1 1 
92.50 0 0 0 18 0 
understand 1 1 3 10 3 
virginia 0 0 0 10 8 
publicli 2 0 0 15 1 
2.20 3 0 1 5 9 
s. 4 0 3 9 2 
fortun 0 0 5 13 0 
beverag 0 4 0 10 4 
sport 0 0 0 9 9 
volatil 6 0 7 0 5 
twice 0 2 5 8 3 
sheikh 18 0 0 0 0 
maekawa 0 0 18 0 0 
necessarili 0 1 14 1 2 
britain' 0 0 6 10 2 
twa' 0 0 0 18 0 
prioriti 5 0 12 0 1 
13.9 0 0 0 0 18 
protectionist 2 1 14 0 1 
momentum 2 1 8 0 7 
15.4 0 1 0 5 12 
machin 0 0 1 10 7 
edward 1 4 0 8 5 
huski 0 0 0 17 1 
exploratori 15 0 0 3 0 
carbid 0 0 0 13 5 
pre-split 0 0 0 1 17 
pattern 3 4 6 0 5 
7.8 1 5 0 3 9 
mitsubishi 0 1 2 9 6 
9.7 1 1 0 7 9 
type 1 4 6 5 2 
ge 0 0 0 8 10 
parliamentari 2 0 14 2 0 
gabelli 0 0 0 18 0 
shelf 15 0 0 0 3 
t 0 1 0 10 7 
satoshi 0 0 18 0 0 
telegraph 0 0 0 9 9 
depth 8 0 5 5 0 
mull 0 3 1 13 1 
vehicl 1 1 1 7 8 
format 5 1 2 8 2 
ami 0 0 0 16 2 
usx 13 0 0 5 0 
imag 0 0 0 12 6 
otherwis 3 4 5 4 2 
16.5 4 1 0 2 11 
phase 5 2 4 1 6 
sown 0 18 0 0 0 
icc 0 0 0 18 0 
peru 1 6 7 4 0 
37.5 0 0 0 7 11 
fight 2 6 0 9 1 
norfolk 0 0 0 16 2 
norway 13 0 0 3 2 
mcivor 18 0 0 0 0 
merchandis 0 1 1 6 10 
prevail 1 6 10 0 1 
across 5 6 3 2 2 
symbion 0 0 0 18 0 
1991 3 4 0 6 5 
calni 0 0 0 18 0 
14.8 1 0 0 6 11 
occident 5 0 0 9 4 
unit' 0 0 1 13 4 
protest 5 7 3 3 0 
8.8 4 0 1 0 13 
1.62 0 0 0 3 15 
9.6 0 3 0 6 9 
penc 0 0 1 10 7 
gould 0 0 3 14 1 
16.2 0 1 0 6 11 
mostli 4 1 2 5 6 
mount 1 0 5 5 7 
intens 3 13 0 1 1 
giant 3 0 0 11 4 
counter 1 1 3 12 1 
ameritrust 0 0 0 12 6 
iran' 18 0 0 0 0 
syndic 1 0 1 14 2 
1.28 0 3 0 0 15 
n.v. 1 0 0 10 7 
lire 0 0 2 7 9 
20,000 2 12 0 1 3 
watanab 0 0 0 18 0 
businessmen 8 0 9 1 0 
prt 18 0 0 0 0 
awb 0 18 0 0 0 
prohibit 4 3 1 8 2 
15.0 0 2 1 1 14 
bureau 0 12 3 2 1 
labour 10 3 5 0 0 
asid 0 3 6 4 5 
minu 1 15 2 0 0 
specialist 1 6 1 9 1 
hilton 0 0 0 4 14 
channel 1 0 0 12 5 
unabl 2 1 2 7 6 
eastman 0 0 0 9 9 
huckabi 0 18 0 0 0 
fla. 0 0 0 18 0 
4.9 2 0 0 4 12 
14.1 0 1 0 1 16 
6.4 0 2 0 4 12 
fairli 1 1 12 3 0 
1.87 1 3 8 0 5 
deriv 2 8 1 0 6 
resolut 1 2 5 4 5 
personnel 2 1 0 4 10 
raid 15 0 0 2 0 
inflow 0 0 17 0 0 
deterior 3 1 3 0 10 
itt 0 0 0 6 11 
10.8 1 3 0 0 13 
crucial 8 3 6 0 0 
1986' 2 1 0 0 14 
5.7 0 1 0 6 10 
trillion 16 0 0 1 0 
certainli 6 4 2 2 3 
banco 3 0 2 8 4 
solut 2 1 9 2 3 
minnesota 0 5 0 7 5 
5.0 1 4 2 3 7 
india 6 10 0 1 0 
10.0 1 2 2 2 10 
nigel 3 0 14 0 0 
healthcar 0 0 0 7 10 
suburban 0 0 0 14 3 
usa 3 3 1 3 7 
write-off 0 0 2 0 15 
campbel 0 0 1 4 12 
contact 1 2 1 12 1 
venezuelan 16 0 0 0 1 
fill 11 1 0 1 4 
bayer 0 0 0 0 17 
casino 0 0 0 13 4 
6,000 1 11 0 1 4 
discov 13 1 0 0 3 
bearish 2 3 11 1 0 
17.1 0 0 0 1 16 
one-third 2 3 1 7 4 
triangl 0 1 1 12 3 
print 0 0 0 13 4 
italy' 1 0 5 9 2 
quantiti 3 11 1 0 2 
15.6 2 0 1 3 11 
snyder 0 1 0 15 1 
exact 1 3 1 5 7 
cap 0 4 2 5 6 
bankers' 0 0 17 0 0 
flight 0 1 1 7 8 
alberta 8 0 0 5 4 
compli 0 0 0 12 5 
social 1 5 1 6 4 
felt 0 3 4 4 6 
19.5 1 0 0 1 15 
rmj 0 0 0 17 0 
farmland 0 14 0 3 0 
controversi 3 8 1 5 0 
proven 7 0 2 4 4 
i'm 2 2 5 3 5 
allied-sign 0 0 0 15 2 
word 4 1 5 3 4 
buyback 0 0 0 4 13 
180 4 2 2 3 6 
patent 0 0 0 10 7 
increasingli 3 2 8 2 2 
statist 5 5 5 1 1 
freedom 4 1 2 3 7 
dramat 1 2 6 1 7 
user 3 4 0 8 2 
1.19 0 1 0 2 14 
livestock 1 10 0 6 0 
1.17 0 0 0 0 17 
ban 7 6 0 2 2 
avana 0 0 0 15 2 
they'r 1 3 0 10 3 
abandon 1 2 4 4 6 
hundr 5 4 1 3 4 
amoco 17 0 0 0 0 
mind 7 4 3 3 0 
graphic 0 0 0 8 9 
percept 1 2 7 4 3 
model 0 0 2 0 15 
pantera' 0 0 0 17 0 
mention 4 0 6 6 1 
16.9 0 0 0 2 15 
33.5 1 0 0 1 15 
roger 1 2 3 5 6 
pcc 0 0 0 17 0 
pennsylvania 2 0 0 12 3 
1.85 0 3 3 2 9 
hutchison 0 0 0 4 13 
cautiou 2 2 10 2 1 
willing 4 3 4 5 1 
centuri 5 3 0 6 3 
batteri 2 0 0 14 1 
indirectli 1 0 13 3 0 
basf 0 0 0 0 17 
drastic 1 5 8 0 3 
three-year 2 1 3 2 9 
1.80 1 1 6 2 7 
yearend 1 0 0 4 12 
site 7 0 0 6 4 
preserv 2 2 8 5 0 
sanwa 0 0 1 12 4 
mail 0 1 0 6 10 
dinar 0 0 12 0 5 
categori 2 2 10 1 2 
withdrawn 1 0 0 13 3 
utilicorp 0 0 0 4 13 
t. 3 0 1 12 1 
uk 2 3 6 4 2 
winterkil 0 16 0 0 0 
14.0 0 4 0 0 12 
hungari 0 0 16 0 0 
19.6 0 0 1 4 11 
cabinet 5 8 1 2 0 
autom 0 0 0 10 6 
midday 1 3 8 3 1 
often 3 3 7 3 0 
petroleo 16 0 0 0 0 
16.6 3 0 0 0 13 
amo 0 0 0 12 4 
surround 1 1 4 8 2 
salari 1 1 2 6 6 
tvx 0 0 0 16 0 
zico 0 0 0 16 0 
papandr 16 0 0 0 0 
decad 4 3 4 1 4 
mountain 1 0 0 13 2 
beef 0 9 1 6 0 
pc 0 0 0 16 0 
9.1 1 1 0 4 10 
plc' 3 0 0 10 3 
ambassador 7 0 4 5 0 
agenda 1 10 3 2 0 
jim 2 3 1 5 5 
deduct 6 2 0 0 8 
amc' 0 0 0 15 1 
win 1 0 1 10 4 
mca 0 1 0 13 2 
conagra 0 0 0 12 4 
meanwhil 2 4 6 1 3 
uae 10 0 6 0 0 
sour 16 0 0 0 0 
els 0 3 3 8 2 
e. 2 1 0 7 6 
triton 4 0 0 11 1 
13.4 1 2 2 0 11 
lord 3 0 2 0 11 
vine 0 0 0 15 1 
1.40 2 1 0 0 13 
ward 0 0 1 14 1 
echlin 0 0 0 7 9 
full-year 0 0 0 0 16 
somewhat 2 1 6 2 5 
china' 0 12 0 1 3 
transamerica 0 0 0 5 11 
dole 0 16 0 0 0 
mellon 0 0 0 0 16 
5,000 3 5 2 4 2 
sweden 4 0 0 10 2 
monitor 4 2 3 7 0 
undertak 1 2 8 5 0 
lear 1 0 0 14 1 
truste 2 0 0 9 5 
southwestern 0 2 0 2 12 
zambia 0 2 14 0 0 
unoc 16 0 0 0 0 
sudan 0 6 10 0 0 
wisconsin 0 0 0 14 2 
market' 1 0 15 0 0 
built 6 2 1 1 6 
endotron 0 0 0 0 16 
veget 0 14 0 1 1 
bat 0 0 0 0 16 
acknowledg 1 1 3 11 0 
crosbi 0 0 0 7 9 
compound 1 10 0 0 5 
owe 4 1 4 4 3 
jr 0 0 0 12 4 
written 1 2 2 4 7 
me 2 1 3 10 0 
550 0 0 10 3 3 
metex 0 0 0 15 1 
connecticut 0 0 0 11 5 
histori 2 2 0 4 8 
forest 0 2 0 11 3 
capel 0 0 1 7 8 
guaranti 0 0 6 7 3 
summit 0 0 8 6 2 
1.45 0 5 0 0 11 
1992 2 3 3 3 5 
dip 4 0 6 2 4 
evid 1 3 6 3 3 
18.2 0 1 0 1 14 
sound 2 2 3 7 2 
8.9 0 2 0 2 12 
sweden' 2 0 0 14 0 
stockbrok 4 0 3 3 6 
seipp 0 0 8 0 8 
resal 0 0 14 2 0 
search 11 1 1 2 1 
enforc 0 0 1 13 2 
olson 0 0 0 6 10 
pdvsa 16 0 0 0 0 
marathon 11 0 0 1 4 
troop 15 1 0 0 0 
convinc 4 3 4 3 2 
extra 1 3 3 3 6 
idl 3 10 0 0 3 
narragansett 0 0 0 16 0 
intellig 2 1 0 3 10 
non-opec 16 0 0 0 0 
per-shar 0 0 0 2 14 
presenc 6 1 2 6 1 
plane 5 1 0 2 8 
harm 8 1 3 3 1 
injunct 1 0 0 15 0 
nestl 0 0 0 8 8 
procedur 1 3 3 4 5 
westinghous 0 0 0 9 7 
poison 0 0 0 16 0 
holiday 2 0 2 8 4 
tesco 0 0 0 12 4 
republican 1 13 0 2 0 
seller 2 7 4 3 0 
vulner 1 4 7 1 3 
pillsburi 0 3 0 1 12 
1979 6 3 1 2 4 
pill 0 0 0 16 0 
tonight 2 4 1 9 0 
93 0 1 1 3 11 
hunt 2 0 1 11 2 
14.6 0 0 0 1 15 
14.7 4 1 0 1 10 
door 2 3 1 8 2 
gardner 0 0 0 16 0 
await 1 8 3 3 1 
decoupl 0 16 0 0 0 
17.3 3 0 0 1 12 
heart 4 2 2 6 2 
renouf 0 0 0 16 0 
undermin 0 2 12 2 0 
hk 0 0 0 13 3 
elsewher 8 5 1 2 0 
recogn 0 3 3 4 6 
underway 2 4 1 6 2 
distanc 2 0 0 1 12 
probe 0 3 1 11 0 
6.1 0 1 0 3 11 
francais 6 0 0 5 4 
justifi 4 1 6 3 1 
davi 3 0 0 7 5 
heyman 0 0 0 15 0 
pinola 0 0 0 12 3 
apart 2 0 3 4 6 
7.4 4 0 0 6 5 
simon 6 0 0 2 7 
149 0 0 13 0 2 
virtual 4 2 4 2 3 
thatcher 4 0 5 6 0 
moratorium 1 0 2 0 12 
disrupt 2 3 2 3 5 
paddi 0 15 0 0 0 
essenti 0 4 4 3 4 
sloan 0 0 13 2 0 
sumitomo 0 0 1 10 4 
hall 3 7 0 2 3 
0.1 6 4 0 0 5 
advisori 0 3 0 11 1 
articl 1 2 2 7 3 
guess 0 10 3 1 1 
whom 1 2 2 10 0 
pennzoil 11 0 0 0 4 
mr 1 0 1 10 3 
5.6 1 2 0 2 10 
bridg 5 0 1 9 0 
ftc 2 0 0 12 1 
1.48 0 1 0 0 14 
quest 0 0 0 14 1 
cra 0 0 0 0 15 
1.39 0 0 0 0 15 
boycott 7 0 8 0 0 
resid 1 3 8 3 0 
12.3 1 0 0 1 13 
n.y. 0 0 1 11 3 
firmer 4 1 4 4 2 
seaway 0 13 0 1 1 
1.29 1 1 0 0 13 
1.36 0 0 0 1 14 
valid 2 3 2 7 1 
pursuant 1 0 1 12 1 
civil 0 5 2 3 5 
biotechnolog 0 0 0 10 5 
supercomput 0 0 0 15 0 
jack 0 0 0 7 8 
1.79 0 0 1 0 14 
guard 5 0 2 8 0 
retali 0 5 8 2 0 
divid 7 1 5 2 0 
arco 2 0 0 7 6 
widen 2 3 7 1 2 
1.65 0 3 0 1 11 
25.6 0 1 0 2 12 
mississippi 1 7 0 1 6 
15.7 2 0 0 0 13 
6.9 1 0 0 2 12 
7.3 1 4 0 2 8 
90.25 0 0 0 15 0 
evan 9 0 0 6 0 
bu 2 7 0 4 2 
19.8 0 2 0 2 11 
bar 1 2 3 8 1 
cyacq' 0 0 0 15 0 
cinema 0 0 0 2 13 
16.8 0 1 0 4 10 
antitrust 0 0 0 13 2 
membership 2 5 8 0 0 
shut 14 0 0 0 1 
ultramar 0 0 0 7 8 
1.27 2 0 0 0 13 
campaign 2 9 0 2 2 
broke 2 2 2 6 3 
variti 0 0 0 0 15 
dean 1 2 1 3 8 
northeast 2 6 0 6 1 
deak 0 0 0 15 0 
two-year 2 0 5 6 2 
team 1 2 2 6 4 
1.58 0 0 0 0 15 
900 2 3 5 1 4 
1.01 1 1 2 0 11 
semi-annu 0 2 1 0 12 
greenmail 0 0 0 15 0 
pepsico 0 0 0 11 4 
pont 1 0 0 8 6 
glass 0 0 0 7 8 
steadili 5 4 4 0 2 
28.5 1 0 0 1 13 
sunday 5 1 3 6 0 
ecuadorean 15 0 0 0 0 
lincoln 0 0 0 11 4 
prudenti 1 1 0 2 11 
han 1 0 2 9 3 
iowa 0 11 1 0 3 
banqu 1 0 2 11 1 
9.4 1 0 0 5 9 
dougla 0 0 0 7 8 
27.5 6 0 0 3 6 
quak 15 0 0 0 0 
lifetim 3 0 0 12 0 
31.7 1 0 0 5 9 
arabia' 12 0 1 0 2 
conflict 4 2 7 1 1 
undersecretari 3 8 4 0 0 
cutback 10 2 0 1 2 
builder 0 0 0 14 1 
tv 0 0 0 13 2 
peke 9 6 0 0 0 
moor 5 0 0 9 1 
3.16 0 3 0 2 10 
20.0 0 4 0 1 10 
norsk 14 0 0 0 1 
1.14 3 0 1 1 10 
41.5 0 5 0 0 10 
hiram 0 0 0 6 9 
7-1/2 0 0 3 1 11 
rout 1 4 1 6 3 
1.22 1 0 0 0 14 
restraint 5 0 2 6 2 
148 0 1 12 0 2 
lanka 0 15 0 0 0 
sosnoff' 0 0 0 15 0 
weaker 2 1 8 1 3 
mitsui 0 0 2 13 0 
maryland 0 0 0 15 0 
temporarili 5 1 5 2 2 
chevron 14 0 0 0 0 
freez 3 4 0 5 2 
relationship 3 2 4 4 1 
emphasi 3 1 2 4 4 
proport 1 2 4 5 2 
guidelin 0 0 8 1 5 
itel 0 0 0 12 2 
aris 2 0 1 3 8 
consumm 0 1 0 13 0 
indefinit 8 1 0 3 2 
bolster 3 2 5 1 3 
m. 1 0 0 11 2 
bangladesh 0 14 0 0 0 
nino 0 14 0 0 0 
spin 0 0 0 13 1 
bayou 0 0 0 14 0 
airport 1 0 1 11 1 
deliber 8 2 1 3 0 
kill 10 3 1 0 0 
oregon 0 2 0 10 2 
issuanc 0 2 2 5 5 
baker' 0 0 10 4 0 
reveal 2 0 4 7 1 
danforth 0 4 0 7 3 
conglomer 1 0 0 9 4 
rothschild 1 0 0 12 1 
counsel 0 0 0 11 3 
confidenti 0 0 2 12 0 
warm 0 14 0 0 0 
14.4 1 1 0 0 12 
j. 0 0 0 10 4 
vm 0 0 0 3 11 
19.4 1 1 0 1 11 
0 0 13 0 0 1 
mercantil 6 0 2 0 6 
voic 0 6 0 7 1 
repeal 6 0 0 3 5 
18.7 1 0 0 4 9 
neither 2 4 0 6 2 
withdrew 1 1 2 10 0 
coke 1 0 0 13 0 
three-for-on 0 0 0 0 14 
alaskan 12 0 0 2 0 
1.02 1 0 2 0 11 
40,000 7 1 0 1 5 
tabl 1 2 1 9 1 
casualti 1 0 0 8 5 
residenti 0 0 0 7 7 
11.9 0 0 1 0 13 
heard 3 3 3 5 0 
130 1 0 1 7 5 
barg 0 14 0 0 0 
loui 0 8 0 6 0 
peseta 0 2 10 0 2 
profession 0 1 0 7 6 
miti 0 0 12 2 0 
waiver 1 0 1 11 1 
unanim 2 1 1 9 1 
code 6 1 2 2 3 
combust 0 0 0 7 7 
advoc 5 2 2 5 0 
analysts' 0 1 0 3 10 
steep 4 0 8 0 2 
mueller 0 0 12 2 0 
24.9 0 0 0 6 8 
calm 4 1 9 0 0 
liff 0 0 14 0 0 
1.99 3 0 0 1 10 
akzo 0 0 0 10 4 
caution 0 1 9 0 4 
12.9 0 0 1 3 10 
mass 9 1 0 2 2 
heck' 0 0 0 4 10 
journalist 0 1 6 2 5 
anacomp 0 0 0 7 7 
didn't 0 5 0 7 2 
curtail 5 0 6 1 2 
scan-graph 0 0 0 14 0 
accompani 2 1 2 3 6 
jefferi 0 0 0 11 3 
liber 1 4 8 0 1 
11.0 0 2 0 2 10 
brook 0 0 1 11 2 
pan 0 1 0 1 12 
read 0 0 4 9 1 
fort 1 0 0 11 2 
upcom 1 5 3 2 3 
60,000 0 9 0 3 2 
750,000 0 4 0 3 7 
industry' 11 2 0 1 0 
lie 6 1 5 1 1 
rumour 1 2 6 4 1 
murray 4 0 0 4 6 
protection 0 1 12 1 0 
substitut 1 4 4 2 3 
wood 3 0 0 6 5 
rotterdam 2 12 0 0 0 
ucpb 0 0 0 14 0 
netback 14 0 0 0 0 
orang 0 3 0 11 0 
jungl 14 0 0 0 0 
icn 0 0 0 11 3 
household 0 1 3 4 6 
chem 0 0 0 14 0 
equit 0 2 0 7 5 
preussag 1 0 0 3 10 
phillip 6 0 5 1 2 
factori 0 7 1 5 1 
22.6 1 1 0 0 12 
comalco 0 0 0 0 14 
orient 0 2 6 2 4 
7.9 1 1 0 5 7 
outlay 2 9 0 2 1 
citizen 0 0 4 7 3 
pct-own 2 0 0 4 8 
4,000 6 4 0 2 2 
1.44 3 0 0 2 9 
alan 0 0 1 11 2 
